Shape,A,d,b,t,k(des),k(det),wt./ft.,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,x(bar),Zy,xp,Iz,Sz,rz,TAN a,Qs,J,Cw,ro(bar),H
L3X3X5/16,1.78,3,3,0.3125,0.688,0.6875,6.1,1.5,0.699,0.918,0.86,1.26,0.297,1.5,0.699,0.918,0.86,1.26,0.297,0.606,0.496,0.583,1,1,0.0597,0.039,1.64,0.63
L3X3X1/4,1.44,3,3,0.25,0.625,0.625,4.9,1.23,0.569,0.926,0.836,1.02,0.24,1.23,0.569,0.926,0.836,1.02,0.24,0.49,0.415,0.585,1,1,0.0313,0.0206,1.65,0.63
L3X3X3/16,1.09,3,3,0.1875,0.563,0.5625,3.71,0.948,0.433,0.933,0.812,0.774,0.182,0.948,0.433,0.933,0.812,0.774,0.182,0.373,0.326,0.586,1,0.912,0.0136,0.00899,1.67,0.63
L3X2-1/2X1/2,2.5,2.5,3,0.5,0.875,0.875,8.5,2.07,1.03,0.91,0.995,1.86,0.5,1.29,0.736,0.718,0.746,1.34,0.417,0.665,0.568,0.516,0.666,1,0.213,0.112,1.46,–
L3X2-1/2X7/16,2.22,2.5,3,0.4375,0.813,0.8125,7.6,1.87,0.921,0.917,0.972,1.66,0.463,1.17,0.656,0.724,0.724,1.19,0.37,0.594,0.517,0.516,0.671,1,0.146,0.0777,1.48,–
L3X2-1/2X3/8,1.93,2.5,3,0.375,0.75,0.75,6.6,1.65,0.803,0.924,0.949,1.45,0.427,1.03,0.573,0.731,0.701,1.03,0.322,0.514,0.463,0.517,0.675,1,0.0943,0.0507,1.49,–
L3X2-1/2X5/16,1.63,2.5,3,0.3125,0.688,0.6875,5.6,1.41,0.681,0.932,0.925,1.23,0.392,0.888,0.487,0.739,0.677,0.873,0.272,0.435,0.404,0.518,0.679,1,0.056,0.0304,1.51,–
L3X2-1/2X1/4,1.32,2.5,3,0.25,0.625,0.625,4.5,1.16,0.555,0.94,0.9,1,0.36,0.734,0.397,0.746,0.653,0.707,0.22,0.355,0.327,0.52,0.683,1,0.0296,0.0161,1.52,–
L3X2-1/2X3/16,1,2.5,3,0.1875,0.563,0.5625,3.39,0.899,0.423,0.947,0.874,0.761,0.333,0.568,0.303,0.753,0.627,0.536,0.167,0.271,0.247,0.521,0.687,0.912,0.013,0.00705,1.54,–
L3X2X1/2,2.26,2,3,0.5,0.813,0.8125,7.7,1.92,1,0.922,1.08,1.78,0.74,0.667,0.47,0.543,0.58,0.887,0.377,0.409,0.411,0.425,0.413,1,0.192,0.0908,1.39,–
L3X2X3/8,1.75,2,3,0.375,0.688,0.6875,5.9,1.54,0.779,0.937,1.03,1.39,0.667,0.539,0.368,0.555,0.535,0.679,0.292,0.319,0.313,0.426,0.426,1,0.0855,0.0413,1.42,–
L3X2X5/16,1.48,2,3,0.3125,0.625,0.625,5,1.32,0.662,0.945,1.01,1.19,0.632,0.467,0.314,0.562,0.511,0.572,0.247,0.271,0.264,0.428,0.432,1,0.051,0.0248,1.43,–
L3X2X1/4,1.2,2,3,0.25,0.563,0.5625,4.1,1.09,0.541,0.953,0.98,0.969,0.6,0.39,0.258,0.569,0.487,0.463,0.2,0.223,0.214,0.431,0.437,1,0.027,0.0132,1.45,–
L3X2X3/16,0.917,2,3,0.1875,0.5,0.5,3.07,0.847,0.414,0.961,0.952,0.743,0.555,0.305,0.198,0.577,0.462,0.351,0.153,0.173,0.163,0.435,0.442,0.912,0.0119,0.00576,1.46,–
L2-1/2X2-1/2X1/2,2.26,2.5,2.5,0.5,0.75,0.75,7.7,1.22,0.716,0.735,0.803,1.29,0.452,1.22,0.716,0.735,0.803,1.29,0.452,0.526,0.459,0.481,1,1,0.188,0.0791,1.3,0.64
L2-1/2X2-1/2X3/8,1.73,2.5,2.5,0.375,0.625,0.625,5.9,0.972,0.558,0.749,0.758,1.01,0.346,0.972,0.558,0.749,0.758,1.01,0.346,0.4,0.373,0.481,1,1,0.0833,0.0362,1.33,0.63
L2-1/2X2-1/2X5/16,1.46,2.5,2.5,0.3125,0.563,0.5625,5,0.837,0.474,0.756,0.735,0.853,0.292,0.837,0.474,0.756,0.735,0.853,0.292,0.338,0.326,0.481,1,1,0.0495,0.0218,1.35,0.63
